age,simulation,node,y,cs_prob,first_split
8,50,52,FALSE,0.83,52
9,50,52,TRUE,0.795,52
1,6,52,TRUE,0.995,52
10,6,68,FALSE,0.57,68
12,6,77,FALSE,0.55,77
13,6,52,TRUE,0.69,52
14,6,68,TRUE,0.635,68
15,6,71,FALSE,0.685,71
16,6,68,FALSE,0.57,68
17,6,62,TRUE,1,62
2,6,52,TRUE,1,52
3,6,52,TRUE,0.995,52
4,6,52,TRUE,0.885,52
5,6,52,TRUE,0.735,52
6,6,52,TRUE,0.98,52
7,6,52,TRUE,1,52
8,6,52,TRUE,0.55,52
9,6,52,FALSE,0.595,52
1,7,52,TRUE,1,52
10,7,52,TRUE,0.74,52
11,7,71,TRUE,0.675,71
12,7,71,TRUE,0.61,71
13,7,71,FALSE,0.51,71
14,7,68,TRUE,0.68,68
16,7,66,TRUE,0.52,66
17,7,56,TRUE,0.765,56
2,7,52,TRUE,1,52
3,7,52,TRUE,1,52
4,7,52,TRUE,1,52
5,7,52,TRUE,1,52
6,7,52,TRUE,0.885,52
7,7,52,TRUE,1,52
8,7,52,TRUE,0.85,52
9,7,66,TRUE,0.705,66
1,8,52,TRUE,1,52
10,8,52,TRUE,0.555,52
11,8,66,TRUE,0.7,66
12,8,73,TRUE,0.76,73
13,8,66,TRUE,0.62,66
14,8,70,TRUE,0.7,70
15,8,68,FALSE,0.56,68
16,8,57,TRUE,1,57
17,8,52,TRUE,0.76,52
2,8,52,TRUE,1,52
3,8,52,TRUE,0.835,52
4,8,52,TRUE,1,52
5,8,52,TRUE,0.965,52
6,8,52,TRUE,0.64,52
7,8,70,TRUE,0.51,70
8,8,67,TRUE,0.845,67
9,8,52,TRUE,0.825,52
1,9,52,TRUE,1,52
10,9,79,FALSE,0.54,79
11,9,52,FALSE,0.535,52
12,9,64,TRUE,0.61,64
13,9,71,FALSE,0.55,71
14,9,52,TRUE,0.585,52
15,9,69,TRUE,0.53,69
17,9,58,TRUE,0.725,58
2,9,52,TRUE,0.565,52
3,9,52,TRUE,0.78,52
4,9,52,TRUE,0.755,52
5,9,52,TRUE,0.53,52
6,9,52,TRUE,0.925,52
7,9,52,FALSE,0.54,52
8,9,52,TRUE,0.535,52
9,9,52,TRUE,0.595,52
